"","NM","NM_full","Total_Use_Voxels","Marijuana Use","Drug Use","Alcohol Use","Total Use","MVSL_Incorrect","MVSL_Correct","MVSL_avg","MVSL_Contrast","MVSR_Incorrect","MVSR_Correct","MVSR_avg","MVSR_Contrast","SVSL_Incorrect","SVSL_Correct","SVSL_avg","SVSL_Contrast","SVSR_Incorrect","SVSR_Correct","SVSR_avg","SVSR_Contrast","SDSL_Incorrect","SDSL_Correct","SDSL_avg","SDSL_Contrast","SDSR_Incorrect","SDSR_Correct","SDSR_avg","SDSR_Contrast","MDSL_Incorrect","MDSL_Correct","MDSL_avg","MDSL_Contrast","MDSR_Incorrect","MDSR_Correct","MDSR_avg","MDSR_Contrast","VSL","VSR","DSL","DSR"
"SVSR_Correct",0.324096913467528,0.314917382316558,0.369833762771429,0.418247114326336,0.945498854761677,0.595734784037071,0.58687351707128,0.809174745109559,0.733635892734173,0.930713611441881,0.649277271774256,0.469215927521641,0.193403601644752,0.248939825115151,0.494590568759941,0.807073767751917,8.19029350407341e-06,0.0228648501779667,0.00153290101880765,0.422163301080195,NA,2.5290790617305e-07,3.0284223931254e-05,0.67483466073393,0.000962900742136119,0.150951218398326,2.17821633521353e-05,0.834034340992792,0.000529802428744564,0.0389581392877587,0.000735308733059714,0.234347048710789,0.215640269683531,0.166368822364524,0.703154831132788,0.413269304628064,0.727328441025336,0.484254008351612,0.630554081989607,0.103308060581324,0.000118485560093973,0.0719775750702709,0.0462013646429891
"SVSR_avg",0.211172263963577,0.161242194076777,0.287791630898514,0.468470122048489,0.388906258065015,0.974237571865281,0.609779370348043,0.710862332419889,0.145833424106969,0.443460761109849,0.142838445809964,0.926159666161701,0.148395950388204,0.43393879741742,0.0852446310271304,0.00234091321367913,0.000216264545683575,4.47559418577104e-05,0.882410422404807,1.00067577335494e-07,2.5290790617305e-07,NA,0.874080960036514,0.0838806388353657,0.000552702444628572,0.00412280368082074,0.138742764001658,0.0120375029648074,0.00373775408459287,0.00146992473658836,0.61523887786101,0.955495683657871,0.375903424516195,0.653826426166501,0.524329091208078,0.527064696328577,0.623253712598381,0.913264217234231,0.286231570903368,0.000984620682955129,1.24386017574807e-06,0.0273036373695548,0.019239407384815
"SVSR_Contrast",0.960562543909418,0.928897711025385,0.898900344176728,0.703723328681222,0.27161348229334,0.445836841727044,0.818920830166052,0.949484624155427,0.251011267119997,0.452713035271578,0.325090530561421,0.228548519541609,0.769276802214472,0.410016333212678,0.357771067462313,0.00180058494086532,0.0440578119732564,0.38392732615866,5.57786572485952e-09,1.18221319760359e-05,3.0284223931254e-05,0.874080960036514,NA,0.00644937533652046,0.345067901668646,0.324437028344033,5.17820507894839e-06,0.0102853856940985,0.0957377500051748,0.697299778676269,1.29771083590136e-06,0.0809698324869417,0.405773502721346,0.117700889141227,0.186569492305565,0.0443020772967648,0.967556350588112,0.2355693525205,0.0455822526397323,0.26827273425474,0.632023277938973,0.8484972244359,0.746313732070726
"SDSL_Incorrect",0.361819761755799,0.834967183430161,0.689705800504987,0.178132939132483,0.57479315367591,0.530557105901067,0.340284177010727,0.235931661667857,0.617417351468937,0.282147101358988,0.656128016339619,0.333309959022504,0.13315106222519,0.160023980052834,0.517411787514043,5.16839886133269e-06,0.13620502526216,0.000234912382979457,0.00267880728147141,0.00162819669222891,0.67483466073393,0.0838806388353657,0.00644937533652046,NA,0.000204993886212979,2.67341704329738e-13,0.00194548819368068,4.0849545968058e-12,0.0349350498670029,2.74540541589374e-06,0.00317934470928871,0.0868692144130292,0.990370238830084,0.256404613842722,0.0461894764446549,0.3784610912274,0.651731767701439,0.425757901538811,0.653704316978798,0.000992939799658199,0.939283206375318,4.81961649700935e-07,6.64676025161626e-05
"SDSL_Correct",0.711419204283779,0.780587130842321,0.846359385742417,0.509238568396404,0.549772815753431,0.882341031762299,0.635296779941841,0.753229809100232,0.274898191354258,0.342824738898098,0.509402253478528,0.300758806002819,0.803656929680718,0.479764048945173,0.426046680235728,0.000188805851325524,1.10181268597742e-05,4.38025847815382e-07,0.766524498587246,0.0734903772674305,0.000962900742136119,0.000552702444628572,0.345067901668646,0.000204993886212979,NA,1.96997973489488e-12,0.0170331546867968,0.00015149365786904,7.57616192004207e-12,9.31981158913686e-11,0.0544522115201675,0.0955198713722289,0.502492294951773,0.151371342115668,0.172360355710161,0.620807364742848,0.568184291267456,0.530296892336942,0.974928772475809,5.65287472400477e-05,0.135519715383921,1.64379499567602e-07,8.98645639679785e-07
"SDSL_avg",0.466757867973417,0.975152586708959,0.900482118788365,0.255659146687429,0.515575890919475,0.658077203667583,0.41849345603849,0.393448411837543,0.377654776654005,0.254232700140997,0.919598490536873,0.26076422028803,0.319304151428678,0.231692340058,0.953603718475404,1.17740043203973e-06,0.00163496993883028,4.11451696713527e-07,0.0674008298513002,0.0050789474837849,0.150951218398326,0.00412280368082074,0.324437028344033,2.67341704329738e-13,1.96997973489488e-12,NA,0.672305497672797,5.48679990330925e-10,6.41668801293349e-06,1.40705225248894e-11,0.561530838029253,0.0563832499452275,0.721036768504914,0.149631707509342,0.0571971927602268,0.436364967805733,0.56750551658847,0.422231719629459,0.808871600572933,2.49738250654996e-05,0.396813867071872,4.17626377924307e-10,1.76546253172205e-07
"SDSL_Contrast",0.526116492965703,0.593411137341744,0.509016947954741,0.420062163327803,0.998162925368956,0.581252583574308,0.569437273223348,0.317094288242389,0.554684896122665,0.839442225619983,0.223024618793778,0.994615952687602,0.153080278101961,0.411830536762658,0.108076596647821,0.395027040602539,0.0113991432952463,0.472152115475782,0.00213549500832855,0.140605155156428,2.17821633521353e-05,0.138742764001658,5.17820507894839e-06,0.00194548819368068,0.0170331546867968,0.672305497672797,NA,0.0348817347674211,0.00115775388883654,0.514704514818065,2.43360886997834e-13,0.876306462815578,0.465823612943294,0.815335525016681,0.447877334851346,0.641463384878816,0.922899135525046,0.817741093610165,0.587823757854117,0.709692829780055,0.132453301120183,0.871980056832055,0.700361488082358
"SDSR_Incorrect",0.843915029896313,0.951651106048845,0.80949271228274,0.442843160760173,0.98893571057678,0.402039353091348,0.488403841023451,0.696426639584872,0.446721771497197,0.4428271107124,0.735945347812879,0.260095138495063,0.274863066539423,0.210056548573108,0.964388361654031,2.60980532074129e-07,0.0276920397448421,6.20015813534991e-06,0.00567834380294752,0.000193003234677747,0.834034340992792,0.0120375029648074,0.0102853856940985,4.0849545968058e-12,0.00015149365786904,5.48679990330925e-10,0.0348817347674211,NA,0.00169725400766207,3.69597685789813e-11,0.00769247451764343,0.122507263600972,0.765949191592721,0.240435949675545,0.124945031862775,0.621289795309227,0.616721983719236,0.557036362362537,0.975435700890574,0.000373069371272461,0.536705627673063,3.76482806396794e-06,7.67506574517185e-07
"SDSR_Correct",0.973266745757557,0.792643548995421,0.922596915703685,0.655042245418314,0.761379267703261,0.992121116891131,0.800243518021339,0.959768294690406,0.331965641814741,0.523664790685069,0.406583664794496,0.471440832828062,0.839057244446631,0.785240646600229,0.32666056632471,0.00321517622748058,6.45427814482957e-06,8.85439768927299e-06,0.700197882313509,0.327528632949739,0.000529802428744564,0.00373775408459287,0.0957377500051748,0.0349350498670029,7.57616192004207e-12,6.41668801293349e-06,0.00115775388883654,0.00169725400766207,NA,4.07718303563342e-12,0.000730357344953303,0.301566847382483,0.427949992293352,0.28546541144346,0.580424875541748,0.801760364635325,0.381324084704552,0.5160749579981,0.588592688859425,0.000666109557599937,0.127024978095065,0.000267215753884775,2.53887486145743e-07
"SDSR_avg",0.928647853126052,0.849412359435088,0.939198208251266,0.488700923388883,0.850835579408315,0.6382610884716,0.592450191795394,0.851836853035569,0.316752647013705,0.419935838577983,0.496348196985958,0.291290817464473,0.62989001445941,0.392425315095136,0.578930682352381,2.51970631270915e-06,9.32319734585629e-05,3.22010202946643e-08,0.215888162342211,0.0100856784796335,0.0389581392877587,0.00146992473658836,0.697299778676269,2.74540541589374e-06,9.31981158913686e-11,1.40705225248894e-11,0.514704514818065,3.69597685789813e-11,4.07718303563342e-12,NA,0.660790475156689,0.139826856937102,0.524718817958875,0.196572886458734,0.238765496894241,0.671656911670503,0.424427592208859,0.475815694212556,0.761342194176037,3.3447399605091e-05,0.212056325462929,6.46198602627379e-07,1.28448363057032e-10
"SDSR_Contrast",0.820256045913488,0.829802826871646,0.736186099081958,0.778952575550927,0.761721443392295,0.419394126776434,0.681319784369259,0.664498275318849,0.790787173643805,0.934063542250676,0.593784427737795,0.733156672272439,0.199035385627154,0.351773020980528,0.285267156318297,0.195918997049554,0.0405156515523144,0.833089742736429,0.0014577400590472,0.0179167852436071,0.000735308733059714,0.61523887786101,1.29771083590136e-06,0.00317934470928871,0.0544522115201675,0.561530838029253,2.43360886997834e-13,0.00769247451764343,0.000730357344953303,0.660790475156689,NA,0.680222839545709,0.593583236274945,0.976419069843718,0.367273473636055,0.826083906349607,0.67395797672948,0.917635478068366,0.552098007237694,0.924862725524505,0.33245135182542,0.674759415252561,0.690542475527014
"MDSL_Incorrect",0.857075155489201,0.468646128173075,0.269747401744151,0.0780420086710434,0.651505957395558,0.0302050124935667,0.0708869639443432,0.00127605475002279,0.95788262217182,0.0653535044496039,0.021340421170168,0.0918567912827593,0.800376383604042,0.450585657940486,0.0387966561437891,0.940613219893471,0.111593936472801,0.437814603133736,0.165415910256096,0.284299326027441,0.234347048710789,0.955495683657871,0.0809698324869417,0.0868692144130292,0.0955198713722289,0.0563832499452275,0.876306462815578,0.122507263600972,0.301566847382483,0.139826856937102,0.680222839545709,NA,0.00131724439238479,8.88178419700125e-15,4.82418469172075e-07,3.45157502579241e-09,0.0594523182626494,7.01006345327215e-06,0.00215768208181011,0.0792181182876603,0.572495318072537,2.6471336234124e-07,0.000439003074407474
"MDSL_Correct",0.0599125880504916,0.030766515637711,0.0436381733910913,0.141911735571076,0.20913290497898,0.0102566015653185,0.0367418921442981,0.124870183311475,0.00512152953980127,0.00330196332287391,0.282837823922372,0.0239154918632796,0.00952428631787727,0.00548059178808691,0.627635542617326,0.612977840759418,0.259158375635569,0.795959876195223,0.142755350670031,0.903991769421333,0.215640269683531,0.375903424516195,0.405773502721346,0.990370238830084,0.502492294951773,0.721036768504914,0.465823612943294,0.765949191592721,0.427949992293352,0.524718817958875,0.593583236274945,0.00131724439238479,NA,2.0196058159172e-09,0.262603226375032,0.0290648990763667,2.03401152365501e-07,2.18828417415384e-05,0.06381668040442,0.0412630791580253,0.0122019641208839,0.00187936052207149,0.00896056878224161
"MDSL_avg",0.326098142572154,0.138059528488054,0.0919589391102773,0.0595105524946447,0.37466978567742,0.00709721479414593,0.0270681754673867,0.00386661905038732,0.227354124897237,0.00858838097638714,0.315747436361539,0.0274450904274468,0.324666558202028,0.07682180347233,0.256442185238611,0.775134366787492,0.108558328240841,0.519925656436205,0.103870413970318,0.507981718790638,0.166368822364524,0.653826426166501,0.117700889141227,0.256404613842722,0.151371342115668,0.149631707509342,0.815335525016681,0.240435949675545,0.28546541144346,0.196572886458734,0.976419069843718,8.88178419700125e-15,2.0196058159172e-09,NA,0.0156687320510482,1.13070613383393e-06,0.000383691269553177,1.01190576362598e-07,0.272735595253331,0.031369292387621,0.12852438972528,3.8287848225238e-07,0.000243915118711246
